ZIP,15-24,25-44,45-64,65+
ZCTA5 01801,1.3,33.7,38.5,26.5
ZCTA5 01803,1.1,30.1,37.3,31.5
ZCTA5 01810,0.7,26.2,48.9,24.2
ZCTA5 01821,1.2,31,42.8,24.9
ZCTA5 01824,2.3,25.6,45.3,26.8
ZCTA5 01826,1.2,29,42.7,27
ZCTA5 01827,1.4,17.9,56.5,24.2
ZCTA5 01830,1.5,36,41,21.5
ZCTA5 01832,1.8,34.9,42.9,20.4
ZCTA5 01833,0.3,25.6,48.5,25.6
ZCTA5 01834,0,21.9,46.9,31.3
ZCTA5 01835,2.3,31.6,48.8,17.3
ZCTA5 01840,3.8,30.2,42.6,23.3
ZCTA5 01841,3.5,38.3,41.1,17.1
ZCTA5 01843,3.2,42.2,34.9,19.7
ZCTA5 01844,1.3,29.6,44.2,24.8
ZCTA5 01845,3.7,27.7,42.3,26.3
ZCTA5 01850,6.8,39.1,38.4,15.8
ZCTA5 01851,4.3,39,42.9,13.8
ZCTA5 01852,2.9,36.3,39.7,21.2
ZCTA5 01854,8.3,32,41.4,18.4
ZCTA5 01860,1.1,16.5,52.6,29.9
ZCTA5 01862,2.3,25.8,47.4,24.5
ZCTA5 01863,1,24.7,42.2,32.1
ZCTA5 01864,0.3,25.2,50.4,24.2
ZCTA5 01867,0.4,26.6,43.7,29.3
ZCTA5 01876,0.3,24.3,48.2,27.2
ZCTA5 01879,0.9,23.8,54.4,21
ZCTA5 01880,0.2,30.5,41.1,28.2
ZCTA5 01886,0.9,25.7,52.2,21.3
ZCTA5 01887,0.8,28.3,45.2,25.8
ZCTA5 01890,0.9,23.7,45.4,30
ZCTA5 01901,2.8,27.5,30.1,39.6
ZCTA5 01902,2.9,40,35.5,21.6
ZCTA5 01904,0.8,34.6,40.5,24
ZCTA5 01905,2.7,36.8,44.1,16.4
ZCTA5 01906,3.1,19.2,46.6,31.1
ZCTA5 01907,0.8,26.1,45.2,28
ZCTA5 01908,0.7,18.1,46.9,34.2
ZCTA5 01913,2.2,28.2,45.6,23.9
ZCTA5 01915,2.3,27.8,43.5,26.5
ZCTA5 01921,0,21,53.1,26
ZCTA5 01922,0,13.6,50.4,36
ZCTA5 01923,1,25.9,41.2,32
ZCTA5 01929,0,20.2,50.8,29
ZCTA5 01930,1.6,22.7,43.2,32.5
ZCTA5 01937,-,-,-,-
ZCTA5 01938,2.2,18.9,43.7,35.3
ZCTA5 01940,0.7,24.8,40.3,34.2
ZCTA5 01944,0,21.4,43.3,35.3
ZCTA5 01945,0.4,19.2,47.5,32.9
ZCTA5 01949,0,15.1,51.6,33.3
ZCTA5 01950,1.1,23,46.9,29
ZCTA5 01951,0,13.8,51.1,35.1
ZCTA5 01952,0.5,21.4,45.5,32.6
ZCTA5 01960,1.2,24.8,39.1,34.9
ZCTA5 01966,0.3,16.2,37.9,45.6
ZCTA5 01969,0,19.5,52.8,27.7
ZCTA5 01970,3.2,34.3,37.1,25.4
ZCTA5 01982,0.8,29.9,47.8,21.5
ZCTA5 01983,0,25.7,38.4,35.9
ZCTA5 01984,1.2,20.8,43.1,34.9
ZCTA5 01985,2.1,16.2,51.7,30.1
ZCTA5 02019,2.2,30,43.5,24.3
ZCTA5 02021,1.3,27.9,40.7,30
ZCTA5 02025,2.3,21,46.6,30.2
ZCTA5 02026,1.2,29.1,40.4,29.4
ZCTA5 02030,0,14.8,59.3,25.9
ZCTA5 02032,0.7,34.9,43.7,20.6
ZCTA5 02035,1.2,28.9,43.1,26.8
ZCTA5 02038,1,27.5,49.3,22.3
ZCTA5 02043,0,20.9,43.2,35.9
ZCTA5 02045,0,16.1,48.3,35.6
ZCTA5 02047,0,13.3,32,54.7
ZCTA5 02048,0.7,32.5,50.6,16.2
ZCTA5 02050,1.3,21.2,47.2,30.3
ZCTA5 02052,0,26.7,49.7,23.7
ZCTA5 02053,1.7,25.1,51.2,22
ZCTA5 02054,0.4,23.4,51.7,24.4
ZCTA5 02056,0,21.9,49.3,28.8
ZCTA5 02061,0,22,51.1,26.9
ZCTA5 02062,1.6,33.2,37.2,28
ZCTA5 02066,0.3,17,48.5,34.2
ZCTA5 02067,0.5,23.9,48.5,27.1
ZCTA5 02071,0,27,38.8,34.2
ZCTA5 02072,0.6,25.9,45.3,28.2
ZCTA5 02081,0.2,27.4,42.9,29.6
ZCTA5 02090,0.4,19.7,47.3,32.6
ZCTA5 02093,0,23.6,53.2,23.2
ZCTA5 02108,2.4,51.7,23.4,22.5
ZCTA5 02109,3.9,52.7,26.1,17.2
ZCTA5 02110,4.6,22.5,37.7,35.1
ZCTA5 02111,10.5,41.6,27.7,20.2
ZCTA5 02113,8.7,65.4,15.6,10.3
ZCTA5 02114,6.1,55.9,21.1,16.9
ZCTA5 02115,18.7,38.6,22.3,20.3
ZCTA5 02116,6.1,44.4,28.5,20.9
ZCTA5 02118,4.8,49.2,28.6,17.5
ZCTA5 02119,4.7,32.8,37.6,24.8
ZCTA5 02120,19.2,37.2,30.8,12.8
ZCTA5 02121,4.2,35.8,40.3,19.7
ZCTA5 02122,3.6,45.3,33.8,17.3
ZCTA5 02124,2.2,37.6,36,24.2
ZCTA5 02125,7.2,41.8,32,19
ZCTA5 02126,1.6,30.2,44.1,24.2
ZCTA5 02127,3.4,57.6,26.3,12.7
ZCTA5 02128,3.1,47.3,32.8,16.8
ZCTA5 02129,2.7,45.2,35.8,16.3
ZCTA5 02130,3.3,46.6,30.4,19.7
ZCTA5 02131,2.2,34.3,43.5,20
ZCTA5 02132,1.2,27.9,39.2,31.7
ZCTA5 02134,19.9,56.5,14.5,9.1
ZCTA5 02135,10.1,51.1,18.7,20.1
ZCTA5 02136,1.4,30.3,44.6,23.7
ZCTA5 02138,5.9,47.1,23.9,23.1
ZCTA5 02139,4.7,52.4,25.8,17.1
ZCTA5 02140,6,49,25.2,19.8
ZCTA5 02141,9.6,52,20.8,17.5
ZCTA5 02142,9.8,55.7,22,12.5
ZCTA5 02143,6.1,55.5,22.9,15.5
ZCTA5 02144,9.3,51.8,21.5,17.3
ZCTA5 02145,5.9,50.5,30.3,13.3
ZCTA5 02148,5.3,40.9,32,21.8
ZCTA5 02149,1.7,39.8,41.6,16.9
ZCTA5 02150,2.5,46.3,35,16.2
ZCTA5 02151,1.9,35,38,25
ZCTA5 02152,1.2,24.8,44,30
ZCTA5 02155,5.9,37.1,34.7,22.3
ZCTA5 02163,1.2,95.7,3.2,0
ZCTA5 02169,2.4,39.4,34.2,24
ZCTA5 02170,3.8,33.2,38.3,24.6
ZCTA5 02171,4.9,34.1,36,25
ZCTA5 02176,2,31.8,37.4,28.8
ZCTA5 02180,1.1,29.6,36.8,32.5
ZCTA5 02184,1.1,31.6,40.5,26.9
ZCTA5 02186,0.5,27.3,41.7,30.5
